,block,street_name,latitude,longitude
722,338,SEMBAWANG CRES,,
723,334,SEMBAWANG CL,,
724,357A,ADMIRALTY DR,,
725,353B,ADMIRALTY DR,,
726,311,CANBERRA RD,,
727,351B,CANBERRA RD,,
728,589A,MONTREAL DR,,
729,351C,CANBERRA RD,,
730,303,CANBERRA RD,,
731,588B,MONTREAL DR,,
732,333,SEMBAWANG CL,,
733,337,SEMBAWANG CRES,,
734,441B,FERNVALE RD,1.39121038063109,103.874688908059
735,441A,FERNVALE RD,,
736,445B,FERNVALE RD,,
737,445A,FERNVALE RD,,
738,211D,COMPASSVALE LANE,,
739,211C,COMPASSVALE LANE,,
740,308C,ANCHORVALE RD,,
741,124B,RIVERVALE DR,,
742,185C,RIVERVALE CRES,,
743,184C,RIVERVALE CRES,,
744,324D,SENGKANG EAST WAY,,
745,183D,RIVERVALE CRES,,
746,131,RIVERVALE ST,,
747,158C,RIVERVALE CRES,,
748,130,RIVERVALE ST,,
749,108,RIVERVALE WALK,,
750,121,RIVERVALE DR,,
751,404A,FERNVALE LANE,,
752,303C,ANCHORVALE LINK,1.38759793773653,103.890220332665
753,128,RIVERVALE ST,,
754,257A,COMPASSVALE RD,,
755,123D,RIVERVALE DR,,
756,296C,COMPASSVALE CRES,,
757,195,RIVERVALE DR,1.39282417800809,103.902400185088
758,211A,COMPASSVALE LANE,,
